,"(('gas', 'gas_boiler'), 'flow')","(('gas_boiler', 'heat_generation'), 'flow')","(('chp', 'electricity'), 'flow')","(('chp', 'heat_generation'), 'flow')","(('gas', 'chp'), 'flow')","(('electricity', 'heatpump_air'), 'flow')","(('heatpump_air', 'heat_generation'), 'flow')","(('heatpump_air', 'heat_generation'), 'status')","(('electricity', 'electrolysis'), 'flow')","(('electrolysis', 'h2'), 'flow')","(('electrolysis', 'heat_generation'), 'flow')","(('heat_generation', 'thermal_storage'), 'flow')","(('thermal_storage', 'None'), 'storage_content')","(('thermal_storage', 'storage_out'), 'flow')"
2018-01-04 23:00:00,0.0,0.0,0.0,-0.0,0.0,851.4060788062288,1663.637803247246,1.0,0.0,-0.0,-0.0,1663.637803247246,19626.410124817292,1738.432443
2018-01-05 00:00:00,0.0,0.0,0.0,-0.0,0.0,850.7923532120556,1656.4528244313728,1.0,0.0,-0.0,-0.0,1656.4528244313728,19559.667791263815,1716.40070025
2018-01-05 01:00:00,0.0,0.0,0.0,-0.0,0.0,849.9247368825384,1646.3397489948763,1.0,0.0,-0.0,-0.0,1646.3397489948763,19481.12207074148,1718.0984915
2018-01-05 02:00:00,0.0,0.0,0.0,-0.0,0.0,849.0915513801832,1636.6862520942377,1.0,0.0,-0.0,-0.0,1636.6862520942377,19381.83759507481,1729.19255225
2018-01-05 03:00:00,0.0,0.0,0.0,-0.0,0.0,848.4877414497753,1629.712781533423,1.0,0.0,-0.0,-0.0,1629.712781533423,19234.36703951618,1770.41628825
2018-01-05 04:00:00,0.0,0.0,0.0,-0.0,0.0,847.8218682445945,1622.0566181869856,1.0,0.0,-0.0,-0.0,1622.0566181869856,19036.668292424867,1813.00484325
2018-01-05 05:00:00,0.0,0.0,0.0,-0.0,0.0,847.1300502853736,1614.1253001956356,1.0,0.0,-0.0,-0.0,1614.1253001956356,18722.23228440737,1921.832942
2018-01-05 06:00:00,0.0,0.0,0.0,-0.0,0.0,846.4065640888526,1605.879189892661,1.0,0.0,-0.0,-0.0,1605.879189892661,18235.410126729563,2086.00821975
2018-01-05 07:00:00,0.0,0.0,0.0,-0.0,0.0,846.156508433502,1603.0347208534774,1.0,0.0,-0.0,-0.0,1603.0347208534774,17702.676161473897,2129.13011575
2018-01-05 08:00:00,0.0,0.0,0.0,-0.0,0.0,846.0940636893469,1602.325047141647,1.0,0.0,-0.0,-0.0,1602.325047141647,17173.288444988182,2125.1338960000003
